YYYY-MM|Bank_Savings_Rate|FC_Savings_Rate
2000-01|1.34|1.27
2000-02|1.3|1.27
2000-03|1.3|1.27
2000-04|1.3|1.27
2000-05|1.3|1.33
2000-06|1.3|1.35
2000-07|1.3|1.35
2000-08|1.3|1.35
2000-09|1.3|1.35
2000-10|1.28|1.31
2000-11|1.28|1.31
2000-12|1.28|1.31
2001-01|1.28|1.34
2001-02|1.28|1.26
2001-03|1.28|1.26
2001-04|1.28|1.24
2001-05|1.28|1.24
2001-06|1.28|1.23
2001-07|1.28|1.23
2001-08|1.28|1.15
2001-09|0.96|1.06
2001-10|0.82|0.94
2001-11|0.79|0.92
2001-12|0.77|0.85
2002-01|0.75|0.82
2002-02|0.71|0.79
2002-03|0.71|0.84
2002-04|0.71|0.84
2002-05|0.6|0.81
2002-06|0.54|0.7
2002-07|0.52|0.7
2002-08|0.45|0.65
2002-09|0.45|0.55
2002-10|0.45|0.53
2002-11|0.44|0.55
2002-12|0.44|0.55
2003-01|0.44|0.5
2003-02|0.38|0.48
2003-03|0.32|0.48
2003-04|0.32|0.47
2003-05|0.24|0.38
2003-06|0.24|0.33
2003-07|0.24|0.28
2003-08|0.24|0.27
2003-09|0.24|0.27
2003-10|0.24|0.27
2003-11|0.24|0.31
2003-12|0.24|0.31
2004-01|0.24|0.31
2004-02|0.23|0.31
2004-03|0.23|0.31
2004-04|0.23|0.31
2004-05|0.23|0.31
2004-06|0.23|0.31
2004-07|0.23|0.31
2004-08|0.23|0.31
2004-09|0.23|0.31
2004-10|0.23|0.31
2004-11|0.23|0.31
2004-12|0.23|0.31
2005-01|0.23|0.31
2005-02|0.23|0.31
2005-03|0.23|0.31
2005-04|0.23|0.31
2005-05|0.23|0.31
2005-06|0.23|0.31
2005-07|0.23|0.31
2005-08|0.23|0.31
2005-09|0.23|0.31
2005-10|0.25|0.31
2005-11|0.25|0.31
2005-12|0.26|0.42
2006-01|0.26|0.42
2006-02|0.26|0.33
2006-03|0.26|0.33
2006-04|0.26|0.33
2006-05|0.26|0.33
2006-06|0.26|0.33
2006-07|0.26|0.33
2006-08|0.25|0.33
2006-09|0.25|0.33
2006-10|0.25|0.33
2006-11|0.25|0.33
2006-12|0.25|0.33
2007-01|0.25|0.33
2007-02|0.25|0.33
2007-03|0.25|0.33
2007-04|0.25|0.33
2007-05|0.25|0.33
2007-06|0.25|0.33
2007-07|0.25|0.33
2007-08|0.25|0.33
2007-09|0.25|0.33
2007-10|0.25|0.33
2007-11|0.25|0.33
2007-12|0.25|0.33
2008-01|0.25|0.33
2008-02|0.24|0.25
2008-03|0.24|0.25
2008-04|0.24|0.25
2008-05|0.24|0.25
2008-06|0.23|0.25
2008-07|0.23|0.25
2008-08|0.23|0.25
2008-09|0.23|0.25
2008-10|0.23|0.25
2008-11|0.23|0.25
2008-12|0.22|0.25
2009-01|0.22|0.25
2009-02|0.21|0.25
2009-03|0.2|0.25
2009-04|0.18|0.25
2009-05|0.17|0.25
2009-06|0.17|0.25
2009-07|0.16|0.25
2009-08|0.16|0.25
2009-09|0.16|0.25
2009-10|0.16|0.25
2009-11|0.16|0.25
2009-12|0.15|0.25
2010-01|0.16|0.25
2010-02|0.14|0.25
2010-03|0.14|0.25
2010-04|0.14|0.25
2010-05|0.14|0.25
2010-06|0.14|0.25
2010-07|0.14|0.25
2010-08|0.14|0.25
2010-09|0.14|0.25
2010-10|0.13|0.25
2010-11|0.13|0.25
2010-12|0.13|0.25
2011-01|0.12|0.25
2011-02|0.12|0.25
2011-03|0.12|0.25
2011-04|0.12|0.25
2011-05|0.12|0.25
2011-06|0.12|0.22
2011-07|0.12|0.22
2011-08|0.12|0.22
2011-09|0.12|0.22
2011-10|0.11|0.18
2011-11|0.11|0.17
2011-12|0.11|0.17
2012-01|0.11|0.17
2012-02|0.11|0.17
2012-03|0.11|0.17
2012-04|0.11|0.17
2012-05|0.11|0.17
2012-06|0.11|0.17
2012-07|0.11|0.17
2012-08|0.11|0.17
2012-09|0.11|0.17
2012-10|0.11|0.17
2012-11|0.11|0.17
2012-12|0.11|0.17
2013-01|0.11|0.17
2013-02|0.11|0.17
2013-03|0.11|0.17
2013-04|0.1|0.17
2013-05|0.1|0.17
2013-06|0.1|0.17
2013-07|0.1|0.17
2013-08|0.1|0.17
2013-09|0.1|0.17
2013-10|0.1|0.17
2013-11|0.1|0.17
2013-12|0.1|0.17
2014-01|0.12|0.17
2014-02|0.12|0.17
2014-03|0.12|0.17
2014-04|0.12|0.17
2014-05|0.12|0.17
2014-06|0.11|0.17
2014-07|0.11|0.17
2014-08|0.11|0.17
2014-09|0.11|0.17
2014-10|0.11|0.17
2014-11|0.11|0.17
2014-12|0.11|0.17
2015-01|0.11|0.17
2015-02|0.11|0.17
2015-03|0.11|0.17
2015-04|0.11|0.17
2015-05|0.11|0.17
2015-06|0.11|0.17
2015-07|0.11|0.17
2015-08|0.14|0.17
2015-09|0.14|0.17
2015-10|0.14|0.17
2015-11|0.14|0.17
2015-12|0.14|0.17
2016-01|0.14|0.17
2016-02|0.14|0.17
2016-03|0.14|0.17
2016-04|0.14|0.17
2016-05|0.14|0.17
2016-06|0.14|0.17
2016-07|0.14|0.17
2016-08|0.14|0.17
2016-09|0.14|0.17
2016-10|0.14|0.17
2016-11|0.14|0.17
2016-12|0.14|0.17
2017-01|0.18|0.17
2017-02|0.18|0.17
2017-03|0.16|0.17
2017-04|0.16|0.17
2017-05|0.16|0.17
2017-06|0.16|0.17
2017-07|0.16|0.17
2017-08|0.16|0.17
2017-09|0.16|0.17
2017-10|0.16|0.17
2017-11|0.16|0.17
2017-12|0.16|0.17
2018-01|0.16|0.17
2018-02|0.16|0.17
2018-03|0.16|0.17
2018-04|0.16|0.17
2018-05|0.16|0.17
2018-06|0.16|0.17
2018-07|0.16|0.17
2018-08|0.16|0.17
2018-09|0.16|0.17
2018-10|0.16|0.17
2018-11|0.16|0.17
2018-12|0.16|0.17
2019-01|0.16|0.17
2019-02|0.16|0.17
2019-03|0.16|0.17
2019-04|0.16|0.17
2019-05|0.16|0
